Country,Funding Amount
Argentina,£1m - £10m
Australia,£10m - £50m
Austria,£1m - £10m
Bangladesh,£1m - £10m
Belgium,£10m - £50m
Benin,Up to £1m
Bolivia,Up to £1m
Bosnia and Herzegovina,Up to £1m
Botswana,Up to £1m
Brazil,£1m - £10m
Burkina Faso,£1m - £10m
Cambodia,£1m - £10m
Cameroon,£1m - £10m
Canada,£1m - £10m
Chad,Up to £1m
Chile,£1m - £10m
China,£1m - £10m
Colombia,£1m - £10m
Cote d'Ivoire,£1m - £10m
Croatia,Up to £1m
Czech Republic,£1m - £10m
Democratic Republic of Congo,£1m - £10m
Denmark,£1m - £10m
Egypt,Up to £1m
Estonia,Up to £1m
Ethiopia,£1m - £10m
Fiji,£1m - £10m
Finland,Up to £1m
France,£1m - £10m
French Polynesia,Up to £1m
Gabon,Up to £1m
Gambia,£1m - £10m
Georgia,Up to £1m
Germany,£10m - £50m
Ghana,£1m - £10m
Greece,Up to £1m
Guatemala,£1m - £10m
Guinea,Up to £1m
Haiti,Up to £1m
Hungary,Up to £1m
Iceland,Up to £1m
India,Over £50m
Indonesia,£1m - £10m
Iran,Up to £1m
Ireland,£10m - £50m
Israel,Up to £1m
Italy,£1m - £10m
Japan,£10m - £50m
Jordan,Up to £1m
Kenya,Over £50m
Lao People's Democratic Republic,£1m - £10m
Lebanon,Up to £1m
Madagascar,Up to £1m
Malawi,£10m - £50m
Malaysia,Up to £1m
Mauritius,Up to £1m
Mexico,£1m - £10m
Mozambique,Up to £1m
Myanmar,£1m - £10m
Nepal,£1m - £10m
Netherlands,£1m - £10m
New Zealand,Up to £1m
Nigeria,£1m - £10m
Norway,Over £50m
Pakistan,£1m - £10m
Palestinian Territories,Up to £1m
Papua New Guinea,Up to £1m
Peru,£1m - £10m
Philippines,Up to £1m
Portugal,£1m - £10m
Russian Federation,Up to £1m
Rwanda,Up to £1m
Senegal,Up to £1m
Sierra Leone,Up to £1m
Singapore,£1m - £10m
South Africa,£10m - £50m
South Korea,Up to £1m
Spain,£1m - £10m
Sri Lanka,Up to £1m
Sudan,Up to £1m
Sweden,£1m - £10m
Switzerland,£10m - £50m
Tanzania,£1m - £10m
Thailand,£10m - £50m
Trinidad and Tobago,Up to £1m
Tunisia,Up to £1m
Turkey,Up to £1m
Uganda,£10m - £50m
Ukraine,Up to £1m
United Kingdom,Over £50m
United States,Over £50m
Vietnam,£10m - £50m
Zambia,£1m - £10m
Zimbabwe,£1m - £10m
